SOC_TITLE,WAGE_RATE_OF_PAY_FROM_p50,WAGE_RATE_OF_PAY_FROM_p75,WAGE_RATE_OF_PAY_FROM_p90,WAGE_RATE_OF_PAY_FROM_p95,WAGE_RATE_OF_PAY_FROM_p99
Information Technology Project Managers,160899.5,185880.5,203007.0,210410.0,227048.4
Electrical Engineers,163922.5,194673.75,216248.0,219001.49999999997,223536.0
Computer and Information Systems Managers,195720.0,224940.25,244500.0,250712.0,291375.00000000006
Operations Research Analysts,133600.0,174960.0,183030.0,195462.5,229566.0
Software Developers,157009.25,180000.0,200905.5,215202.14999999997,249731.68000000008
Information Security Analysts,167614.0,178500.0,199656.0,215485.00000000006,232487.6700000001
Industrial Engineers,130000.0,163460.0,170000.0,186459.99999999997,229214.15999999995
Business Intelligence Analysts,130050.0,150817.5,171370.00000000003,188510.0,209785.50000000012
Computer and Information Research Scientists,163700.0,180485.0,200691.0,212394.0,231586.99999999997
"Transportation, Storage, and Distribution Managers",147400.0,167750.75,179760.0,210929.99999999997,236637.6
Graphic Designers,144100.0,176000.0,188620.0,190425.0,208092.80000000002
Market Research Analysts and Marketing Specialists,145500.0,173632.0,203290.00000000003,211000.0,225564.45000000004
Computer Systems Analysts,108243.0,128500.0,171600.0,186100.0,207603.99999999997
Web Administrators,160550.0,174585.5,195740.0,207569.99999999997,217034.0
Software Quality Assurance Analysts and Testers,136846.0,151600.0,172830.0,183726.0,228100.0
Data Scientists,159200.0,178031.0,195174.8,213336.81599999993,240483.9999999999
Logistics Analysts,155608.0,157207.0,166060.0,173130.0,178786.0
Database Administrators,124276.0,139365.0,165970.0,171230.0,199075.00000000003
Financial Risk Specialists,115000.0,142345.0,155566.0,159973.0,163498.6
Sales Engineers,165186.0,203000.0,214880.0,231860.0,240692.0
Computer Systems Engineers/Architects,144778.5,167657.25,180489.30000000002,193300.0,237106.40670000014
Landscape Architects,33.0,33.0,33.0,33.0,33.0
"Engineers, All Other",120500.0,120500.0,120500.0,120500.0,120500.0
Budget Analysts,140767.5,151432.25,154514.6,163566.94999999998,176294.99
Microbiologists,83580.0,83580.0,83580.0,83580.0,83580.0
Database Architects,140250.0,158525.0,171020.0,178800.0,185148.00000000003
Purchasing Managers,154928.5,162700.0,165710.0,170115.0,174743.0
Statisticians,152700.0,190000.0,222440.0,226073.6,243374.71999999994
Economists,154000.0,160590.0,167831.0,176225.00000000003,202444.99999999994
"Software Developers, Non R&D",129709.0,129709.0,129709.0,129709.0,129709.0
Computer Hardware Engineers,162600.0,184481.0,208388.0,217646.0,285200.0000000001
Quality Control Systems Managers,150000.0,150000.0,150000.0,150000.0,150000.0
Pharmacists,115000.0,115000.0,115000.0,115000.0,115000.0
Logisticians,113000.0,140925.0,169412.0,172975.0,177730.68000000002
Logistics Engineers,90000.0,100600.0,104800.0,104800.0,104800.0
Network and Computer Systems Administrators,133754.78,154600.0,168620.0,178895.05,194879.21
Management Analysts,156800.0,165862.0,188405.0,207960.0,210392.0
Training and Development Specialists,105500.0,120450.0,129420.0,132410.0,134802.0
Human Factors Engineers and Ergonomists,187500.0,213750.0,229500.0,234750.0,238950.0
Civil Engineers,128500.0,141412.5,158470.00000000003,173213.99999999994,191943.99999999997
Validation Engineers,149000.0,166725.0,177040.0,185295.0,188070.0
Bioinformatics Scientists,90000.0,95000.0,100309.622,100544.866,100733.0612
Marketing Managers,163600.0,188200.0,207400.0,220000.0,220000.0
Accountants and Auditors,101428.53,117630.0,137960.0,140290.0,166666.0
Special Effects Artists and Animators,154609.0,193698.0,199144.0,207072.0,213414.4
Anesthesiologists,239200.0,239200.0,239200.0,239200.0,239200.0
Computer Network Architects,154710.0,181742.0,187289.04,200000.0,252499.99999999994
Supply Chain Managers,139700.0,150189.0,159120.0,175000.0,177484.0
Sales Managers,182797.5,219398.75,241359.5,248679.75,254535.95
Lawyers,172000.0,186250.0,194800.0,197650.0,199930.0
"Wholesale and Retail Buyers, Except Farm Products",84000.0,84000.0,84000.0,84000.0,84000.0
"Business Teachers, Postsecondary",206568.0,211734.0,214833.6,215866.8,216693.36
Chemical Engineers,118000.0,118000.0,118000.0,118000.0,118000.0
Hospitalists,136.07999999999998,154.26749999999998,137579.905,280493.88,293679.192
"Biological Scientists, All Other",96574.0,108041.0,114921.2,117214.59999999999,119049.31999999999
Obstetricians and Gynecologists,144.0,144.0,144.0,144.0,144.0
Construction Managers,124800.0,145500.0,157920.0,162060.0,165372.0
Project Management Specialists,95950.0,168105.0,176323.068,177219.204,177936.1128
Computer Programmers,95000.0,124000.0,125000.0,163759.9999999999,179616.69999999998
Molecular and Cellular Biologists,70358.0,72787.0,76514.8,77757.4,78751.48
Natural Sciences Managers,154396.695,167801.2925,186242.117,192389.05849999998,197306.61169999998
Compliance Managers,120000.0,149500.0,167200.0,173100.0,177820.0
Web and Digital Interface Designers,163059.0,165200.0,190929.2,199505.6,206366.72
Chief Executives,281240.0,296860.0,306232.0,309356.0,311855.2
Financial Managers,185300.0,195650.0,201860.0,203930.0,205586.0
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",124500.0,137250.0,144900.0,147450.0,149490.0
"Business Operations Specialists, All Other",132100.0,136050.0,138420.0,139210.0,139842.0
Financial and Investment Analysts,113040.0,123381.5,139000.0,149499.99999999997,157899.99999999997
"Anthropology and Archeology Teachers, Postsecondary",72900.0,72900.0,72900.0,72900.0,72900.0
Histotechnologists,38.5,38.5,38.5,38.5,38.5
Biochemists and Biophysicists,72500.0,87126.5,120439.0,131529.5,140401.9
Human Resources Specialists,142800.0,149844.5,154071.2,155480.1,156607.22
Medical and Clinical Laboratory Technologists,44.97,48.09,49.64,50.977,46866.6275999999
Clinical Data Managers,83760.0,99380.0,108752.0,111876.0,114375.2
"Architects, Except Landscape and Naval",74838.0,105000.0,131000.0,133000.0,134600.0
Data Warehousing Specialists,111927.08,116213.54000000001,118785.416,119642.708,120328.5416
Fire-Prevention and Protection Engineers,162900.0,162900.0,162900.0,162900.0,162900.0
Food Scientists and Technologists,126000.0,149000.0,162800.0,167400.0,171080.0
Bioengineers and Biomedical Engineers,96484.0,108726.0,116071.2,118519.59999999999,120478.31999999999
Mechanical Engineers,99993.0,131150.0,148115.0,150000.0,150000.0
"Computer Occupations, All Other",142126.0,160000.08,193242.59399999998,204323.43199999997,213188.10239999997
Search Marketing Strategists,132850.0,132850.0,132850.0,132850.0,132850.0
Architectural and Engineering Managers,127550.0,135800.0,145520.0,148760.0,151352.0
Social and Community Service Managers,30.08,30.08,30.08,30.08,30.08
Cardiologists,550000.0,550000.0,550000.0,550000.0,550000.0
Commercial and Industrial Designers,160283.0,160283.0,160283.0,160283.0,160283.0
Cost Estimators,169250.0,173875.0,176650.0,177575.0,178315.0
"Health Specialties Teachers, Postsecondary",128502.0,165000.0,275000.0,325000.0,365000.00000000006
Biostatisticians,110000.0,110000.0,110000.0,110000.0,110000.0
Sports Medicine Physicians,330145.0,330145.0,330145.0,330145.0,330145.0
Occupational Health and Safety Specialists,77080.0,90140.0,97976.0,100588.0,102677.6
"Foreign Language and Literature Teachers, Postsecondary",76752.5,86523.75,89257.5,90168.75,90897.75
"Dentists, General",83370.0,168790.0,172660.0,173950.0,174982.0
Stockers and Order Fillers,64000.0,64750.0,65200.0,65350.0,65470.0
"Medical Scientists, Except Epidemiologists",67776.0,68862.0,72151.2,74316.59999999999,76048.92
Physical Therapists,41901.25,62831.625,75389.85,79575.925,82924.785
Operations Research Analyst,142500.0,146250.0,148500.0,149250.0,149850.0
Environmental Engineers,111621.0,132602.0,145190.6,149386.8,152743.76
General Internal Medicine Physicians,200004.0,260002.0,296000.8,308000.39999999997,317600.08
"Geoscientists, Except Hydrologists and Geographers",125000.0,125000.0,125000.0,125000.0,125000.0
"Physicians, All Other",250000.0,356727.5,420764.0,442109.5,459185.9
Mental Health Counselors,58240.0,61422.0,69509.1,72204.8,74361.36
"Electronics Engineers, Except Computer",135697.91499999998,140054.8725,142669.047,143540.4385,144237.55169999998
General and Operations Managers,173910.0,196029.0,231566.0,245783.0,257156.6
Sustainability Specialists,71698.0,71698.0,71698.0,71698.0,71698.0
Veterinarians,165000.0,170000.0,170000.0,170000.0,170000.0
Credit Analysts,139050.0,153575.0,162290.0,165195.0,167519.0
Geneticists,80004.0,80004.0,80004.0,80004.0,80004.0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",87059.69,90269.535,92195.44200000001,92837.41100000001,93350.9862
Registered Nurses,50.68,50.68,55681.07200000001,74224.53599999998,89059.3072
"Compensation, Benefits, and Job Analysis Specialists",133126.0,133126.0,133126.0,133126.0,133126.0
"Philosophy and Religion Teachers, Postsecondary",146503.5,176253.75,194103.9,200053.94999999998,204813.99
"Engineering Teachers, Postsecondary",107219.5,115871.75,121063.1,122793.55,124177.91
Chemists,90500.0,102750.0,110100.0,112550.0,114510.0
"Law Teachers, Postsecondary",80001.0,80001.0,80001.0,80001.0,80001.0
Radiologists,342636.0,442818.0,502927.2,522963.6,538992.72
Hydrologists,103200.0,103200.0,103200.0,103200.0,103200.0
Regulatory Affairs Specialists,130600.0,130600.0,130600.0,130600.0,130600.0
Materials Engineers,175430.0,175430.0,175430.0,175430.0,175430.0
Family Medicine Physicians,153651.0,162013.5,167031.0,168703.5,170041.5
"Mathematical Science Teachers, Postsecondary",80000.0,108598.0,125756.8,131476.4,136052.08
Computer Network Support Specialists,144700.0,162450.0,173100.0,176650.0,179490.0
"Nursing Instructors and Teachers, Postsecondary",102678.21,102678.21,102678.21,102678.21,102678.21
Materials Scientists,7660.0,7660.0,7660.0,7660.0,7660.0
Optometrists,125000.0,125000.0,125000.0,125000.0,125000.0
Medical and Health Services Managers,465000.0,465000.0,465000.0,465000.0,465000.0
"Chemistry Teachers, Postsecondary",68199.0,68199.0,68199.0,68199.0,68199.0
Paralegals and Legal Assistants,32762.665,49131.332500000004,58952.533,62226.2665,64845.2533
DIETITIANS AND NUTRITIONISTS,34.27,34.27,34.27,34.27,34.27
"Computer Science Teachers, Postsecondary",115405.0,115405.0,115405.0,115405.0,115405.0
Transportation Engineers,78562.0,78562.0,78562.0,78562.0,78562.0
Geographic Information Systems Technologists and Technicians,86653.0,86653.0,86653.0,86653.0,86653.0
Aerospace Engineers,66.44,66.44,66.44,66.44,66.44
"Surgeons, All Other",225000.0,262500.0,285000.0,292500.0,298500.0
Judicial Law Clerks,57500.0,57500.0,57500.0,57500.0,57500.0
Survey Researchers,65508.0,65508.0,65508.0,65508.0,65508.0
Urban and Regional Planners,7966.0,7966.0,7966.0,7966.0,7966.0
Architectural and Civil Drafters,72000.0,72000.0,72000.0,72000.0,72000.0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",82008.0,82008.0,82008.0,82008.0,82008.0
"History Teachers, Postsecondary",101700.0,101700.0,101700.0,101700.0,101700.0
Advertising and Promotions Managers,147000.0,147000.0,147000.0,147000.0,147000.0
Psychiatrists,238865.09,238865.09,238865.09,238865.09,238865.09
"Software Developers, R&D",131961.07,131961.07,131961.07,131961.07,131961.07
Biological Technicians,24.0,24.0,24.0,24.0,24.0
Coaches and Scouts,65000.0,65000.0,65000.0,65000.0,65000.0
"Financial Specialists, All Other",26.7,26.7,26.7,26.7,26.7
"Architecture Teachers, Postsecondary",108000.0,108000.0,108000.0,108000.0,108000.0
Bioinformatics Technicians,80000.0,80000.0,80000.0,80000.0,80000.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",105713.68,115356.84,121142.736,123071.368,124614.2736
"Art, Drama, and Music Teachers, Postsecondary",76005.0,76005.0,76005.0,76005.0,76005.0
Mechatronics Engineers,107598.0,107598.0,107598.0,107598.0,107598.0
Agricultural Engineers,58000.0,58000.0,58000.0,58000.0,58000.0
"Environmental Scientists and Specialists, Including Health",139300.0,139300.0,139300.0,139300.0,139300.0
